station_identifier,name,latitude,longitude,elevation_m,timezone,url,forecast_url,fireweather_zone_url
023BH,436 CR 863,38.67714,-105.0791,2984.6016,America/Denver,https://api.weather.gov/stations/023BH,https://api.weather.gov/zones/forecast/COZ081,https://api.weather.gov/zones/fire/COZ221
023CE,40 Iowa Colony,29.44027,-95.41478,14.3256,America/Chicago,https://api.weather.gov/stations/023CE,https://api.weather.gov/zones/forecast/TXZ237,https://api.weather.gov/zones/fire/TXZ237
023HE,HECO Waianae Valley Rd,21.47746,-158.15312,206.9592,Pacific/Honolulu,https://api.weather.gov/stations/023HE,https://api.weather.gov/zones/forecast/HIZ006,https://api.weather.gov/zones/fire/HIZ310
023HI,Hamoa,20.7195,-156.0024,105.7656,Pacific/Honolulu,https://api.weather.gov/stations/023HI,https://api.weather.gov/zones/forecast/HIZ048,https://api.weather.gov/zones/fire/HIZ332
023ID,CN2T4,43.26982,-116.56984,778.1544,America/Boise,https://api.weather.gov/stations/023ID,https://api.weather.gov/zones/forecast/IDZ012,https://api.weather.gov/zones/fire/IDZ423
023MD,Berlin 2ENE,38.33724,-75.19263,10.668,America/New_York,https://api.weather.gov/stations/023MD,https://api.weather.gov/zones/forecast/MDZ024,https://api.weather.gov/zones/fire/MDZ024
023NH,Exeter Rt. 101 WB MM 128.4,42.97793,-70.90752,39.0144,America/New_York,https://api.weather.gov/stations/023NH,https://api.weather.gov/zones/forecast/NHZ013,https://api.weather.gov/zones/fire/NHZ026
023PG,Paris Valley Road,36.04868,-121.00329,191.1096,America/Los_Angeles,https://api.weather.gov/stations/023PG,https://api.weather.gov/zones/forecast/CAZ516,https://api.weather.gov/zones/fire/CAZ516
023SE,SCE W County Rd,33.9423,-117.63299,170.0784,America/Los_Angeles,https://api.weather.gov/stations/023SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
0241W,Choctawhatchee High School,30.44989,-86.61879,14.0208,America/Chicago,https://api.weather.gov/stations/0241W,https://api.weather.gov/zones/forecast/FLZ206,https://api.weather.gov/zones/fire/FLZ206
0246W,Jefferson County Middle/High School,30.49032,-83.87875,54.864,America/New_York,https://api.weather.gov/stations/0246W,https://api.weather.gov/zones/forecast/FLZ018,https://api.weather.gov/zones/fire/FLZ018
024AV,Kingston,47.54414,-116.26501,722.6808,America/Los_Angeles,https://api.weather.gov/stations/024AV,https://api.weather.gov/zones/forecast/IDZ004,https://api.weather.gov/zones/fire/IDZ101
024BH,CR 255,38.1984,-105.38871,2454.8592,America/Denver,https://api.weather.gov/stations/024BH,https://api.weather.gov/zones/forecast/COZ078,https://api.weather.gov/zones/fire/COZ225
024CE,39 Chocolate Springs,29.31578,-95.25071,7.0104,America/Chicago,https://api.weather.gov/stations/024CE,https://api.weather.gov/zones/forecast/TXZ337,https://api.weather.gov/zones/fire/TXZ337
024HE,HECO Palehua Rd,21.39701,-158.10023,758.952,Pacific/Honolulu,https://api.weather.gov/stations/024HE,https://api.weather.gov/zones/forecast/HIZ011,https://api.weather.gov/zones/fire/HIZ316
024HI,Lower Limahuli,22.2198,-159.5752,31.0896,Pacific/Honolulu,https://api.weather.gov/stations/024HI,https://api.weather.gov/zones/forecast/HIZ029,https://api.weather.gov/zones/fire/HIZ302
024ID,CN2T5,43.33998,-116.66807,747.9792,America/Boise,https://api.weather.gov/stations/024ID,https://api.weather.gov/zones/forecast/IDZ012,https://api.weather.gov/zones/fire/IDZ423
024MD,Chesapeake City 2SW,39.50756,-75.83321,9.144,America/New_York,https://api.weather.gov/stations/024MD,https://api.weather.gov/zones/forecast/MDZ008,https://api.weather.gov/zones/fire/MDZ008
024NH,Milton Rt. 16 SB MM 32,43.46483,-70.9976,170.9928,America/New_York,https://api.weather.gov/stations/024NH,https://api.weather.gov/zones/forecast/NHZ010,https://api.weather.gov/zones/fire/NHZ023
024PG,Dessie Drive,39.06731,-122.9721,524.8656,America/Los_Angeles,https://api.weather.gov/stations/024PG,https://api.weather.gov/zones/forecast/CAZ115,https://api.weather.gov/zones/fire/CAZ264
024SE,SCE Thornton Ave,33.72608,-116.95858,492.8616,America/Los_Angeles,https://api.weather.gov/stations/024SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
0250W,Shaver's Creek,40.66645,-77.90955,267.0048,America/New_York,https://api.weather.gov/stations/0250W,https://api.weather.gov/zones/forecast/PAZ026,https://api.weather.gov/zones/fire/PAZ026
0258W,Boston College,42.33476,-71.17021,67.9704,America/New_York,https://api.weather.gov/stations/0258W,https://api.weather.gov/zones/forecast/MAZ014,https://api.weather.gov/zones/fire/MAZ014
025AV,Big Creek,47.50964,-116.07036,772.9728,America/Los_Angeles,https://api.weather.gov/stations/025AV,https://api.weather.gov/zones/forecast/IDZ004,https://api.weather.gov/zones/fire/IDZ101
025BH,Broadacre Rd,38.02013,-104.4605,1489.5576,America/Denver,https://api.weather.gov/stations/025BH,https://api.weather.gov/zones/forecast/COZ086,https://api.weather.gov/zones/fire/COZ228
025CE,55 Manvel VFD,29.48721,-95.35089,17.0688,America/Chicago,https://api.weather.gov/stations/025CE,https://api.weather.gov/zones/forecast/TXZ237,https://api.weather.gov/zones/fire/TXZ237
025HC,Texas City EOC,29.39488,-94.9209,6.096,America/Chicago,https://api.weather.gov/stations/025HC,https://api.weather.gov/zones/forecast/TXZ338,https://api.weather.gov/zones/fire/TXZ338
025HE,HECO Palehua Rd 2,21.37402,-158.0921,381,Pacific/Honolulu,https://api.weather.gov/stations/025HE,https://api.weather.gov/zones/forecast/HIZ011,https://api.weather.gov/zones/fire/HIZ316
025HI,Kehena,20.1228,-155.7493,1157.9352,Pacific/Honolulu,https://api.weather.gov/stations/025HI,https://api.weather.gov/zones/forecast/HIZ054,https://api.weather.gov/zones/fire/HIZ340
025ID,CP2T10,43.42506,-116.2344,886.968,America/Boise,https://api.weather.gov/stations/025ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
025MD,Thurmont 1NE,39.63581,-77.40114,179.5272,America/New_York,https://api.weather.gov/stations/025MD,https://api.weather.gov/zones/forecast/MDZ004,https://api.weather.gov/zones/fire/MDZ004
025NH,Milton Rt. 16 SB Exit 17,43.40281,-71.00566,128.9304,America/New_York,https://api.weather.gov/stations/025NH,https://api.weather.gov/zones/forecast/NHZ010,https://api.weather.gov/zones/fire/NHZ023
025PG,Grove Street,38.30431,-122.5498,377.3424,America/Los_Angeles,https://api.weather.gov/stations/025PG,https://api.weather.gov/zones/forecast/CAZ504,https://api.weather.gov/zones/fire/CAZ504
025SE,SCE Boyd Ave,33.82537,-117.53525,327.0504,America/Los_Angeles,https://api.weather.gov/stations/025SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
026AV,Silverton,47.50059,-115.96694,939.3936,America/Los_Angeles,https://api.weather.gov/stations/026AV,https://api.weather.gov/zones/forecast/IDZ004,https://api.weather.gov/zones/fire/IDZ101
026BH,Curt Gowdy,41.15038,-105.22537,2261.616,America/Denver,https://api.weather.gov/stations/026BH,https://api.weather.gov/zones/forecast/WYZ116,https://api.weather.gov/zones/fire/WYZ429
026CE,56 Shadow Creek Ranch,29.5553,-95.39775,18.288,America/Chicago,https://api.weather.gov/stations/026CE,https://api.weather.gov/zones/forecast/TXZ237,https://api.weather.gov/zones/fire/TXZ237
026HE,HELCO Mamalahoa Hwy,19.90472,-155.70565,798.576,Pacific/Honolulu,https://api.weather.gov/stations/026HE,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
026HI,Kaala,21.5069,-158.1451,1203.96,Pacific/Honolulu,https://api.weather.gov/stations/026HI,https://api.weather.gov/zones/forecast/HIZ011,https://api.weather.gov/zones/fire/HIZ316
026ID,CP2T11,43.48685,-116.3044,869.8992,America/Boise,https://api.weather.gov/stations/026ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
026MD,Harney,39.7164,-77.2087,149.6568,America/New_York,https://api.weather.gov/stations/026MD,https://api.weather.gov/zones/forecast/MDZ005,https://api.weather.gov/zones/fire/MDZ005
026NH,Rt. 101 WB Peterborough,42.8507,-71.8899,444.0936,America/New_York,https://api.weather.gov/stations/026NH,https://api.weather.gov/zones/forecast/NHZ015,https://api.weather.gov/zones/fire/NHZ024
026PG,Parker Flats Cutoff,36.62987,-121.79182,132.8928,America/Los_Angeles,https://api.weather.gov/stations/026PG,https://api.weather.gov/zones/forecast/CAZ530,https://api.weather.gov/zones/fire/CAZ530
026SE,SCE Agua Mansa Rd,34.05241,-117.34638,270.0528,America/Los_Angeles,https://api.weather.gov/stations/026SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
0272W,FSU Lakefront Park,30.40105,-84.33692,24.0792,America/New_York,https://api.weather.gov/stations/0272W,https://api.weather.gov/zones/forecast/FLZ017,https://api.weather.gov/zones/fire/FLZ017
0275W,FSU Rec SportsPlex,30.42059,-84.34072,34.1376,America/New_York,https://api.weather.gov/stations/0275W,https://api.weather.gov/zones/forecast/FLZ017,https://api.weather.gov/zones/fire/FLZ017
0278W,Penn State Beaver Stadium,40.81206,-77.85602,362.1024,America/New_York,https://api.weather.gov/stations/0278W,https://api.weather.gov/zones/forecast/PAZ019,https://api.weather.gov/zones/fire/PAZ019
027BH,Harriman Road,41.02779,-105.23046,2288.7432,America/Denver,https://api.weather.gov/stations/027BH,https://api.weather.gov/zones/forecast/WYZ116,https://api.weather.gov/zones/fire/WYZ429
027CE,72 Elyson,29.87524,-95.79662,47.8536,America/Chicago,https://api.weather.gov/stations/027CE,https://api.weather.gov/zones/forecast/TXZ213,https://api.weather.gov/zones/fire/TXZ213
027HE,HELCO Mamalahoa Hwy 2,19.78559,-155.89733,575.4624,Pacific/Honolulu,https://api.weather.gov/stations/027HE,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
027HI,Lalamilo,20.0195,-155.6771,801.9288,Pacific/Honolulu,https://api.weather.gov/stations/027HI,https://api.weather.gov/zones/forecast/HIZ054,https://api.weather.gov/zones/fire/HIZ340
027ID,CP2T9,43.42995,-116.43655,907.3896,America/Boise,https://api.weather.gov/stations/027ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
027MD,Nanjemoy,38.46104,-77.21603,23.1648,America/New_York,https://api.weather.gov/stations/027MD,https://api.weather.gov/zones/forecast/MDZ016,https://api.weather.gov/zones/fire/MDZ016
027NH,Rt. 4 WB Northwood,43.22249,-71.24644,180.1368,America/New_York,https://api.weather.gov/stations/027NH,https://api.weather.gov/zones/forecast/NHZ013,https://api.weather.gov/zones/fire/NHZ025
027PG,Sky Ranch Lane,38.42078,-122.08401,615.3912,America/Los_Angeles,https://api.weather.gov/stations/027PG,https://api.weather.gov/zones/forecast/CAZ017,https://api.weather.gov/zones/fire/CAZ217
027SE,SCE Mesa Grande Rd,34.45793,-118.30035,772.0584,America/Los_Angeles,https://api.weather.gov/stations/027SE,https://api.weather.gov/zones/forecast/CAZ379,https://api.weather.gov/zones/fire/CAZ379
0280W,FSWN University of Central Florida,28.59174,-81.19641,21.0312,America/New_York,https://api.weather.gov/stations/0280W,https://api.weather.gov/zones/forecast/FLZ045,https://api.weather.gov/zones/fire/FLZ045
0289W,Port St Joe Elementary School,29.79373,-85.29234,9.144,America/New_York,https://api.weather.gov/stations/0289W,https://api.weather.gov/zones/forecast/FLZ114,https://api.weather.gov/zones/fire/FLZ114
028BH,Red Rocks,44.02394,-103.28458,1182.9288,America/Denver,https://api.weather.gov/stations/028BH,https://api.weather.gov/zones/forecast/SDZ026,https://api.weather.gov/zones/fire/SDZ324
028CE,61 Rosharon,29.33411,-95.32705,10.3632,America/Chicago,https://api.weather.gov/stations/028CE,https://api.weather.gov/zones/forecast/TXZ237,https://api.weather.gov/zones/fire/TXZ237
028HE,MECO Makaena Pl,21.11592,-157.00277,276.1488,Pacific/Honolulu,https://api.weather.gov/stations/028HE,https://api.weather.gov/zones/forecast/HIZ041,https://api.weather.gov/zones/fire/HIZ321
028HI,Auwahi,20.6442,-156.3421,1177.1376,Pacific/Honolulu,https://api.weather.gov/stations/028HI,https://api.weather.gov/zones/forecast/HIZ050,https://api.weather.gov/zones/fire/HIZ334
028ID,CP2T8,43.42134,-116.38893,876.6048,America/Boise,https://api.weather.gov/stations/028ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
028MD,Layhill 1 NE,39.09861,-77.03312,110.0328,America/New_York,https://api.weather.gov/stations/028MD,https://api.weather.gov/zones/forecast/MDZ504,https://api.weather.gov/zones/fire/MDZ504
028NH,Portsmouth I-95,43.08502,-70.77346,18.5928,America/New_York,https://api.weather.gov/stations/028NH,https://api.weather.gov/zones/forecast/NHZ014,https://api.weather.gov/zones/fire/NHZ026
028PG,Road 16,38.70546,-122.08663,71.3232,America/Los_Angeles,https://api.weather.gov/stations/028PG,https://api.weather.gov/zones/forecast/CAZ017,https://api.weather.gov/zones/fire/CAZ217
028SE,SCE Pomona Rincon Rd,33.95248,-117.67563,166.116,America/Los_Angeles,https://api.weather.gov/stations/028SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
0296W,Whitetail Hollow Farms,30.6848,-84.45084,81.0768,America/New_York,https://api.weather.gov/stations/0296W,https://api.weather.gov/zones/forecast/FLZ016,https://api.weather.gov/zones/fire/FLZ016
029AV,Berlin Gulch,47.78769,-115.95266,849.1728,America/Los_Angeles,https://api.weather.gov/stations/029AV,https://api.weather.gov/zones/forecast/IDZ004,https://api.weather.gov/zones/fire/IDZ101
029BH,CR 389B Fremont Peak,38.45422,-105.28972,2170.7856,America/Denver,https://api.weather.gov/stations/029BH,https://api.weather.gov/zones/forecast/COZ083,https://api.weather.gov/zones/fire/COZ222
029CE,14 Danbury NW,29.24472,-95.35622,7.62,America/Chicago,https://api.weather.gov/stations/029CE,https://api.weather.gov/zones/forecast/TXZ237,https://api.weather.gov/zones/fire/TXZ237
029HE,MECO Kalae Hwy,21.14593,-157.0473,233.4768,Pacific/Honolulu,https://api.weather.gov/stations/029HE,https://api.weather.gov/zones/forecast/HIZ041,https://api.weather.gov/zones/fire/HIZ321
029HI,Keahuolu,19.6687,-155.9575,536.7528,Pacific/Honolulu,https://api.weather.gov/stations/029HI,https://api.weather.gov/zones/forecast/HIZ023,https://api.weather.gov/zones/fire/HIZ336
029ID,CP2T4,43.07657,-115.70218,939.3936,America/Boise,https://api.weather.gov/stations/029ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ424
029MD,Sykesville 1 NNE,39.38451,-76.96128,164.592,America/New_York,https://api.weather.gov/stations/029MD,https://api.weather.gov/zones/forecast/MDZ005,https://api.weather.gov/zones/fire/MDZ005
029NH,I-89 SB MM 31.4 Sutton/New London,43.39229,-71.98518,353.8728,America/New_York,https://api.weather.gov/stations/029NH,https://api.weather.gov/zones/forecast/NHZ008,https://api.weather.gov/zones/fire/NHZ023
029PG,Woodbine Street,38.83315,-122.1926,109.4232,America/Los_Angeles,https://api.weather.gov/stations/029PG,https://api.weather.gov/zones/forecast/CAZ017,https://api.weather.gov/zones/fire/CAZ217
029SE,SCE Terrace Rd,34.10864,-117.33774,363.9312,America/Los_Angeles,https://api.weather.gov/stations/029SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
02MIC,C2 Clare,43.8328,-84.7452,250.8504,America/Detroit,https://api.weather.gov/stations/02MIC,https://api.weather.gov/zones/forecast/MIZ040,https://api.weather.gov/zones/fire/MIZ040
02NMC,Pleasanton,33.27557,-108.87714,1405.128,America/Denver,https://api.weather.gov/stations/02NMC,https://api.weather.gov/zones/forecast/NMZ209,https://api.weather.gov/zones/fire/NMZ110
030AV,Dorset Rd,47.6127,-117.46444,705.612,America/Los_Angeles,https://api.weather.gov/stations/030AV,https://api.weather.gov/zones/forecast/WAZ036,https://api.weather.gov/zones/fire/WAZ708
030BH,1213 Wildridge Rd,38.48921,-104.98397,1789.7856,America/Denver,https://api.weather.gov/stations/030BH,https://api.weather.gov/zones/forecast/COZ083,https://api.weather.gov/zones/fire/COZ222
030CE,15 CR 36 Otey,29.27499,-95.5105,10.668,America/Chicago,https://api.weather.gov/stations/030CE,https://api.weather.gov/zones/forecast/TXZ237,https://api.weather.gov/zones/fire/TXZ237
030HC,4650 HWY 6 at SH290 (WC),30.11419,-96.075,74.0664,America/Chicago,https://api.weather.gov/stations/030HC,https://api.weather.gov/zones/forecast/TXZ212,https://api.weather.gov/zones/fire/TXZ212
030HE,MECO Ukumehame Gulch,20.81081,-156.58877,89.0016,Pacific/Honolulu,https://api.weather.gov/stations/030HE,https://api.weather.gov/zones/forecast/HIZ018,https://api.weather.gov/zones/fire/HIZ328
030HI,Keopukaloa,21.1453,-156.7295,187.1472,Pacific/Honolulu,https://api.weather.gov/stations/030HI,https://api.weather.gov/zones/forecast/HIZ037,https://api.weather.gov/zones/fire/HIZ317
030ID,CP2T3,43.12301,-115.74684,957.3768,America/Boise,https://api.weather.gov/stations/030ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ424
030MD,Ferry Cove,38.76613,-76.32508,2.19456,America/New_York,https://api.weather.gov/stations/030MD,https://api.weather.gov/zones/forecast/MDZ019,https://api.weather.gov/zones/fire/MDZ019
030PG,North Winters,38.59342,-122.01059,71.0184,America/Los_Angeles,https://api.weather.gov/stations/030PG,https://api.weather.gov/zones/forecast/CAZ017,https://api.weather.gov/zones/fire/CAZ217
030SE,SCE Jeannies Trail,34.3353,-117.42257,1258.2144,America/Los_Angeles,https://api.weather.gov/stations/030SE,https://api.weather.gov/zones/forecast/CAZ055,https://api.weather.gov/zones/fire/CAZ255
031AV,Deep Creek,47.64492,-117.71186,710.7936,America/Los_Angeles,https://api.weather.gov/stations/031AV,https://api.weather.gov/zones/forecast/WAZ036,https://api.weather.gov/zones/fire/WAZ708
031CE,27 Lake Jackson North,29.04794,-95.4689,3.9624,America/Chicago,https://api.weather.gov/stations/031CE,https://api.weather.gov/zones/forecast/TXZ337,https://api.weather.gov/zones/fire/TXZ337
031HE,MECO Launiupoko 2,20.85052,-156.63188,227.6856,Pacific/Honolulu,https://api.weather.gov/stations/031HE,https://api.weather.gov/zones/forecast/HIZ018,https://api.weather.gov/zones/fire/HIZ328
031HI,Honoulimaloo,21.1314,-156.7586,402.0312,Pacific/Honolulu,https://api.weather.gov/stations/031HI,https://api.weather.gov/zones/forecast/HIZ037,https://api.weather.gov/zones/fire/HIZ317
031ID,CP2T5,43.21151,-115.68739,1042.7208,America/Boise,https://api.weather.gov/stations/031ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ424
031MD,Federalsburg,38.69503,-75.78293,11.5824,America/New_York,https://api.weather.gov/stations/031MD,https://api.weather.gov/zones/forecast/MDZ020,https://api.weather.gov/zones/fire/MDZ020
031SE,SCE Terrace View Dr,34.03833,-117.33863,317.9064,America/Los_Angeles,https://api.weather.gov/stations/031SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
0323W,U of Miami Hecht Athletic Center,25.71442,-80.28235,10.0584,America/New_York,https://api.weather.gov/stations/0323W,https://api.weather.gov/zones/forecast/FLZ074,https://api.weather.gov/zones/fire/FLZ074
0325W,Woodlawn Beach Middle School,30.39198,-87.00908,13.1064,America/Chicago,https://api.weather.gov/stations/0325W,https://api.weather.gov/zones/forecast/FLZ204,https://api.weather.gov/zones/fire/FLZ204
0327W,Gulf Breeze High School,30.35847,-87.16718,7.9248,America/Chicago,https://api.weather.gov/stations/0327W,https://api.weather.gov/zones/forecast/FLZ204,https://api.weather.gov/zones/fire/FLZ204
032AV,Five Mile Prairie,47.75867,-117.49716,600.7608,America/Los_Angeles,https://api.weather.gov/stations/032AV,https://api.weather.gov/zones/forecast/WAZ036,https://api.weather.gov/zones/fire/WAZ708
032CE,21 Jones Creek,28.97469,-95.46233,3.6576,America/Chicago,https://api.weather.gov/stations/032CE,https://api.weather.gov/zones/forecast/TXZ337,https://api.weather.gov/zones/fire/TXZ337
032HE,HELCO Lalamilo Wells,19.98493,-155.77173,351.4344,Pacific/Honolulu,https://api.weather.gov/stations/032HE,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
032HI,Upper Kahikinui,20.6442,-156.2847,1033.8816,Pacific/Honolulu,https://api.weather.gov/stations/032HI,https://api.weather.gov/zones/forecast/HIZ050,https://api.weather.gov/zones/fire/HIZ334
032ID,CP2T2,43.30163,-115.83671,1022.604,America/Boise,https://api.weather.gov/stations/032ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ424
032MD,Galena,39.34274,-75.87277,19.812,America/New_York,https://api.weather.gov/stations/032MD,https://api.weather.gov/zones/forecast/MDZ012,https://api.weather.gov/zones/fire/MDZ012
032PG,Cienega Farm,36.7473,-121.39355,371.856,America/Los_Angeles,https://api.weather.gov/stations/032PG,https://api.weather.gov/zones/forecast/CAZ518,https://api.weather.gov/zones/fire/CAZ518
032SE,SCE W Country Line Rd,34.00392,-117.08357,661.1112,America/Los_Angeles,https://api.weather.gov/stations/032SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
0331W,South Sumter High School,28.67248,-82.11236,29.8704,America/New_York,https://api.weather.gov/stations/0331W,https://api.weather.gov/zones/forecast/FLZ043,https://api.weather.gov/zones/fire/FLZ043
0335W,West Elementary School,27.22227,-81.86353,21.0312,America/New_York,https://api.weather.gov/stations/0335W,https://api.weather.gov/zones/forecast/FLZ061,https://api.weather.gov/zones/fire/FLZ061
033AV,Smyrna,46.85381,-119.6014,181.9656,America/Los_Angeles,https://api.weather.gov/stations/033AV,https://api.weather.gov/zones/forecast/WAZ034,https://api.weather.gov/zones/fire/WAZ707
033CE,30 Brazoria NWR SW,29.05794,-95.35087,3.9624,America/Chicago,https://api.weather.gov/stations/033CE,https://api.weather.gov/zones/forecast/TXZ337,https://api.weather.gov/zones/fire/TXZ337
033HI,Keaau,19.6062,-155.0515,181.9656,Pacific/Honolulu,https://api.weather.gov/stations/033HI,https://api.weather.gov/zones/forecast/HIZ053,https://api.weather.gov/zones/fire/HIZ339
033ID,CP2T6,43.53766,-116.11482,945.4896,America/Boise,https://api.weather.gov/stations/033ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
033MD,Linkwood,38.53825,-75.94485,5.1816,America/New_York,https://api.weather.gov/stations/033MD,https://api.weather.gov/zones/forecast/MDZ021,https://api.weather.gov/zones/fire/MDZ021
033PG,Fruitland,40.28661,-123.81329,328.5744,America/Los_Angeles,https://api.weather.gov/stations/033PG,https://api.weather.gov/zones/forecast/CAZ106,https://api.weather.gov/zones/fire/CAZ201
033SE,SCE Calimesa Blvd,34.01302,-117.07461,683.9712,America/Los_Angeles,https://api.weather.gov/stations/033SE,https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/fire/CAZ248
0344W,Challenger Learning Center,30.44033,-84.28337,60.96,America/New_York,https://api.weather.gov/stations/0344W,https://api.weather.gov/zones/forecast/FLZ017,https://api.weather.gov/zones/fire/FLZ017
0349W,Georgia Tech Bobby Dodd Stadium,33.77232,-84.39281,291.9984,America/New_York,https://api.weather.gov/stations/0349W,https://api.weather.gov/zones/forecast/GAZ033,https://api.weather.gov/zones/fire/GAZ033
034AV,Stratford,47.42354,-119.27549,385.8768,America/Los_Angeles,https://api.weather.gov/stations/034AV,https://api.weather.gov/zones/forecast/WAZ035,https://api.weather.gov/zones/fire/WAZ707
034CE,26 Clute,29.01086,-95.38475,2.1336,America/Chicago,https://api.weather.gov/stations/034CE,https://api.weather.gov/zones/forecast/TXZ337,https://api.weather.gov/zones/fire/TXZ337
034HE,HELCO Mamalahoa Hwy 3,19.82773,-155.82116,663.2448,Pacific/Honolulu,https://api.weather.gov/stations/034HE,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
034HI,Kaiaulu Puuwaawaa,19.7724,-155.8312,1160.9832,Pacific/Honolulu,https://api.weather.gov/stations/034HI,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
034ID,CP3T5,43.53163,-116.06685,963.4728,America/Boise,https://api.weather.gov/stations/034ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
034MD,Poolesville 4 WSW,39.1316,-77.48522,93.8784,America/New_York,https://api.weather.gov/stations/034MD,https://api.weather.gov/zones/forecast/MDZ503,https://api.weather.gov/zones/fire/MDZ503
034PG,Stone Canyon,36.0183,-120.51692,1029.0048,America/Los_Angeles,https://api.weather.gov/stations/034PG,https://api.weather.gov/zones/forecast/CAZ518,https://api.weather.gov/zones/fire/CAZ518
034SE,SCE Evergreen Rd,34.42417,-117.62071,1320.0888,America/Los_Angeles,https://api.weather.gov/stations/034SE,https://api.weather.gov/zones/forecast/CAZ060,https://api.weather.gov/zones/fire/CAZ260
0353W,Georgia Tech Campus Recreation Center,33.77494,-84.40367,305.1048,America/New_York,https://api.weather.gov/stations/0353W,https://api.weather.gov/zones/forecast/GAZ033,https://api.weather.gov/zones/fire/GAZ033
035AV,Lind,46.94074,-118.57048,551.9928,America/Los_Angeles,https://api.weather.gov/stations/035AV,https://api.weather.gov/zones/forecast/WAZ035,https://api.weather.gov/zones/fire/WAZ707
035CE,34 San Luis Pass North,29.09818,-95.10514,1.8288,America/Chicago,https://api.weather.gov/stations/035CE,https://api.weather.gov/zones/forecast/TXZ438,https://api.weather.gov/zones/fire/TXZ438
035HC,TRA Riverside,30.84468,-95.39916,64.008,America/Chicago,https://api.weather.gov/stations/035HC,https://api.weather.gov/zones/forecast/TXZ177,https://api.weather.gov/zones/fire/TXZ177
035HE,HELCO Saddle Rd,19.86466,-155.65328,1366.1136,Pacific/Honolulu,https://api.weather.gov/stations/035HE,https://api.weather.gov/zones/forecast/HIZ026,https://api.weather.gov/zones/fire/HIZ341
035HI,Kona Hema,19.2068,-155.811,1282.9032,Pacific/Honolulu,https://api.weather.gov/stations/035HI,https://api.weather.gov/zones/forecast/HIZ023,https://api.weather.gov/zones/fire/HIZ336
035ID,CP3T4,43.61843,-116.13514,1019.8608,America/Boise,https://api.weather.gov/stations/035ID,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
035MD,Lisbon,39.3387,-77.074,185.3184,America/New_York,https://api.weather.gov/stations/035MD,https://api.weather.gov/zones/forecast/MDZ505,https://api.weather.gov/zones/fire/MDZ505
035PG,Mattole Road South,40.27894,-124.24583,46.9392,America/Los_Angeles,https://api.weather.gov/stations/035PG,https://api.weather.gov/zones/forecast/CAZ104,https://api.weather.gov/zones/fire/CAZ201
035SE,SCE Oakgrove Canyon,34.71722,-118.57794,1167.9936,America/Los_Angeles,https://api.weather.gov/stations/035SE,https://api.weather.gov/zones/forecast/CAZ381,https://api.weather.gov/zones/fire/CAZ381
0369W,Florida Gulf Coast University,26.46131,-81.77957,14.0208,America/New_York,https://api.weather.gov/stations/0369W,https://api.weather.gov/zones/forecast/FLZ265,https://api.weather.gov/zones/fire/FLZ265
036AV,Mead,47.77273,-117.35659,579.12,America/Los_Angeles,https://api.weather.gov/stations/036AV,https://api.weather.gov/zones/forecast/WAZ036,https://api.weather.gov/zones/fire/WAZ708
